Station,"Temperature (ºC)",Weather,"Wind Speed (Kts)","Wind Gust (Kts)","Wind Direction","Humidity (%)","Rainfall (mm)","Pressure (hPa)"
Athenry,9,"Light rain ",13,,S,92,1.1,1005
Ballyhaise,8,"Light rain ",13,25,S,91,0.7,1006
Belmullet,10,"Moderate Rain shower",27,38,S,96,2.6,1000
Casement,8,"Light rain ",19,31,S,88,0.3,1009
Claremorris,9,-,13,23,S,97,0.8,1004
Cork,8,"Light rain ",20,34,S,98,0.6,1009
Dublin,9,"Light rain ",08,,S,81,0.4,1010
Dunsany,8,-,14,26,S,90,0.7,1009
Finner,-,-,-,,-,-,0.2,0
Gurteen,9,"Light rain ",16,,S,91,1.1,1007
"Johnstown Castle",9,"Rain shower",14,27,S,95,0.5,1012
Knock,8,"Light rain ",18,28,S,99,1.4,1004
"Mace Head",10,"Moderate rain ",24,36,S,97,3.2,1003
"Malin Head",7,"Light rain ",19,,SE,90,1.0,1004
"Markree Castle",9,-,-,,-,93,1.1,1004
"Moore Park",9,-,12,24,S,92,0.7,1009
"Mt Dillon",8,-,11,,S,97,1.7,1006
Mullingar,8,"Light rain ",13,,S,93,1.0,1007
"Newport Mayo",10,-,09,,SE,95,3.0,1002
"Oak Park",8,"Light rain ",15,26,S,92,0.8,1010
"Phoenix Park",9,-,-,,-,80,0.2,1010
"Roche's Point",9,"Light rain ",25,37,S,95,0.3,1010
Shannon,10,"Light rain ",15,25,S,89,0.7,1006
"Sherkin Island",10,"Light Drizzle ",31,36,S,95,1.2,1008
Valentia,11,"Light rain ",16,28,S,95,3.0,1006
